columns,coefs
Status_A14,-0.6996365674805058
Credit_history_A34,-0.5278820297075806
Purpose_A41,-0.4559987102247561
Personal_status_A93,-0.3294867042339743
Installment_A143,-0.29867577009357393
Age,-0.26707169867840264
Purpose_A43,-0.2579014348288972
Housing_A152,-0.2534158701832575
Residence_1,-0.2437999261405984
Property_A121,-0.2374093730343629
Guarantors_A103,-0.2286970029166969
Foreign_worker_A202,-0.22554367904501385
Savings_account_A65,-0.22259754713685706
Employement_A74,-0.21725688226378112
Savings_account_A64,-0.197310427023152
Purpose_A42,-0.1446084896824192
Credit_history_A33,-0.1439797284803897
Status_A13,-0.12568769848806538
Telephone_A192,-0.1007086132837502
Employement_A75,-0.09083190299822151
Job_A171,-0.08241091763960959
Purpose_A48,-0.08177375455396442
Savings_account_A63,-0.06043268053894074
Job_A172,-0.044283876925076085
Purpose_A410,-0.021558677831071963
Property_A123,-0.001293531486806739
Residence_4,0.004323600344391531
Property_A122,0.01578571086018405
Personal_status_A94,0.02166671987767172
Residence_3,0.0259807354017486
Purpose_A44,0.02753986175603183
Credit_history_A32,0.03930501863567098
Liable_people,0.04771281451923984
Job_A174,0.049332159159297936
Employement_A73,0.05483048190564598
Purpose_A49,0.0647168021612334
Installment_A142,0.06555432683689792
Guarantors_A102,0.0691530880749384
Purpose_A45,0.07692486178845347
Job_A173,0.07745133452062967
Housing_A153,0.0867421034213959
Telephone_A191,0.10079731239899266
Employement_A71,0.10408474864469992
Existing_credits,0.11362556743891881
Personal_status_A92,0.11371073857533677
Employement_A72,0.14926225382689823
Guarantors_A101,0.15963261395700176
Savings_account_A62,0.16415112044802863
Housing_A151,0.16676246587710367
Personal_status_A91,0.19419794489620848
Residence_2,0.21358428950970065
Property_A124,0.22300589277622804
Foreign_worker_A201,0.2256323781602567
Installment_A141,0.23321014237191856
Status_A12,0.23909175247901807
Credit_amount,0.2523631572093395
Duration,0.26052275915000567
Rate,0.26244313851304774
Credit_history_A31,0.29035560740902433
Savings_account_A61,0.3162782333661636
Credit_history_A30,0.34228983125851786
Purpose_A46,0.34820117211465323
Purpose_A40,0.44454706841597946
Status_A11,0.5863212126047962
