C,mean_train_scores,mean_cv_scores
0.0001,0.6987499999999999,0.6987500000000001
0.001,0.6987499999999999,0.6987500000000001
0.01,0.7193750000000001,0.7112499999999999
0.1,0.783125,0.7425
1.0,0.7849999999999999,0.7387499999999999
10.0,0.7884375,0.735
100.0,0.788125,0.7325
1000.0,0.788125,0.7325
10000.0,0.788125,0.7325
100000.0,0.788125,0.7325
